t1_vfid,t1_ra,t1_dec,t1_vr,t1_radius,t1_objname,flux_g,flux_r,flux_w1,flux_w2,flux_w3,flux_w4,flux_z,dist_arcsec
VFID0000,185.86877,74.95225,1418.8,23.829847,NGC4363,1725.56,2590.8,1599.15,917.975,2405.94,3998.22,3173.52,0.797022303833671
VFID0001,182.208,74.904274,1331.5,49.6731,NGC4133,0,0,0,0,0,0,0,0.162932113873452
VFID0001,182.208,74.904274,1331.5,49.6731,NGC4133,8843.17,20229.5,33026.4,21463.1,119634,571470,35033.4,0.258888415717952
VFID0002,145.94466,74.85958,3049.4,62.3909,NGC2977,5822.15,10682.6,14446,8954.8,49931.6,72452.6,16784.4,0.651305118471279
VFID0002,145.94466,74.85958,3049.4,62.3909,NGC2977,0,0,0,0,0,0,0,0.490754087106824
VFID0003,185.57309,74.83839,1833,26.128908,PGC040048,0,0,0,0,0,0,0,0.461656333802782
VFID0003,185.57309,74.83839,1833,26.128908,PGC040048,1791.07,3678.07,3946.61,2153.46,567.561,528.79,5808.93,0.477284249769076
VFID0004,182.82774,74.80822,1683,40.937492,UGC07189,3790.52,6988.61,5657.74,3154.73,8488.13,9569.38,10685.1,0.999161622893994
VFID0004,182.82774,74.80822,1683,40.937492,UGC07189,3723.89,6862.89,5534.94,3079.02,8293.27,9585.14,10504.9,0.996762607479998
VFID0005,173.13419,74.62754,1920.1,48.654305,NGC3752,3751.8,6977.89,7598.46,4570.7,19637.9,19283.3,11142.7,0.593755555390599
VFID0005,173.13419,74.62754,1920.1,48.654305,NGC3752,0,0,0,0,0,0,0,0.549152891973276
VFID0005,173.13419,74.62754,1920.1,48.654305,NGC3752,0,0,0,0,0,0,0,0.549152891973276
VFID0006,121.91241,74.58463,2333,26.984928,UGC04202,437.501,748.65,626.573,339.914,599.93,1763.85,1068.72,0.398632720451513
VFID0007,118.2363,74.57653,2346,23.448833,PGC022064,584.036,878.915,630.231,357.67,741.158,1965.9,1159.46,0.516122979423793
VFID0008,274.94318,74.56839,1484.5,99.56834,NGC6643,0,0,0,0,0,0,0,0.730548860158975
VFID0008,274.94318,74.56839,1484.5,99.56834,NGC6643,47447.5,97264.7,76102.3,46095.7,387520,305665,173219,0.717383544690597
VFID0009,183.47745,74.5014,1702.1,39.547703,UGC07238,735.947,1042.61,579.344,301.077,148.18,331.282,1289.91,0.542593616598057
VFID0010,190.43504,74.42086,1453.3,42.181427,NGC4648,9760.76,20514.2,38595.5,20095.5,7731.55,5573.65,38773.4,0.662459772017423
VFID0011,154.41618,74.34739,2944,36.234413,NGC3155,4126.92,7740.22,8881.47,5324.97,25848.6,34402.5,12090.8,0.601150446147593
VFID0011,154.41618,74.34739,2944,36.234413,NGC3155,4126.8,7740.79,8870.27,5315.08,25774.4,34428.7,12094.3,0.599316706893963
VFID0011,154.41618,74.34739,2944,36.234413,NGC3155,0,0,0,0,0,0,0,0.495710103974243
VFID0011,154.41618,74.34739,2944,36.234413,NGC3155,0,0,0,0,0,0,0,0.495710103974243
VFID0013,139.63405,74.3192,2966,34.050323,UGC04883,0,0,0,0,0,0,0,0.612652930364951
VFID0013,139.63405,74.3192,2966,34.050323,UGC04883,5980.46,11423.9,18793.1,11276.4,29823.6,57791.7,17128.1,0.501664843808687
VFID0014,262.2669,74.257835,1928.2,47.98674,UGC10892,12.264,22.1466,-38.4465,-31.9586,25.7191,1037.39,13.6102,0.735004561805673
VFID0016,138.69963,74.232475,1126.9,44.373253,UGC04841,0,0,0,0,0,0,0,0.587653335816818
VFID0018,189.3543,74.191864,2001.9,87.926796,NGC4589,28926.4,63777.4,75313.8,39852.7,19209.4,11071.6,113067,0.417177086428306
VFID0019,155.45403,74.176994,3092.5,66.699295,NGC3183,16.176,199.814,2952.89,2438.08,14681.6,52442.2,446.214,0.682244493383279
VFID0019,155.45403,74.176994,3092.5,66.699295,NGC3183,16833,34125.5,36521.2,21764.5,105780,49951.9,61062.3,0.973372916775471
VFID0020,132.01933,74.09878,2167.8,69.202415,NGC2633,11536.4,23232.8,82418.6,61263.6,664147,2.87185e+06,39673.7,0.842854348085998
VFID0020,132.01933,74.09878,2167.8,69.202415,NGC2633,0,0,0,0,0,0,0,0.577734829577409
VFID0022,132.09921,74.03822,2160,14.392003,PGC213530,0,0,0,0,0,0,0,0.987355609419543
VFID0022,132.09921,74.03822,2160,14.392003,PGC213530,608.967,943.116,876.893,521.312,863.525,2064.39,1334.7,0.37864348036831
VFID0024,132.10596,73.96711,2258.3,51.53725,NGC2634,0,0,0,0,0,0,0,0.403154167412833
