vfid,RA,DEC,vr,radius,objname
VFID0000,185.86877,74.95225,1418.8,23.829847,NGC4363
VFID0001,182.208,74.904274,1331.5,49.6731,NGC4133
VFID0002,145.94466,74.85958,3049.4,62.3909,NGC2977
VFID0003,185.57309,74.83839,1833,26.128908,PGC040048
VFID0004,182.82774,74.80822,1683,40.937492,UGC07189
VFID0005,173.13419,74.62754,1920.1,48.654305,NGC3752
VFID0006,121.91241,74.58463,2333,26.984928,UGC04202
VFID0007,118.2363,74.57653,2346,23.448833,PGC022064
VFID0008,274.94318,74.56839,1484.5,99.56834,NGC6643
VFID0009,183.47745,74.5014,1702.1,39.547703,UGC07238
VFID0010,190.43504,74.42086,1453.3,42.181427,NGC4648
VFID0011,154.41618,74.34739,2944,36.234413,NGC3155
VFID0012,110.33325,74.3238,966,21.733078,PGC2761545
VFID0013,139.63405,74.3192,2966,34.050323,UGC04883
VFID0014,262.2669,74.257835,1928.2,47.98674,UGC10892
VFID0015,188.93936,74.242584,2188.3,44.067787,NGC4572
VFID0016,138.69963,74.232475,1126.9,44.373253,UGC04841
VFID0017,157.67833,74.227516,2806.5,40.005642,UGC05686
VFID0018,189.3543,74.191864,2001.9,87.926796,NGC4589
VFID0019,155.45403,74.176994,3092.5,66.699295,NGC3183
VFID0020,132.01933,74.09878,2167.8,69.202415,NGC2633
VFID0021,278.7022,74.061806,1678.8,25.010435,PGC062075
VFID0022,132.09921,74.03822,2160,14.392003,PGC213530
VFID0023,126.14017,74.01231,2269.4,28.649778,NGC2550
VFID0024,132.10596,73.96711,2258.3,51.53725,NGC2634
VFID0025,132.15892,73.93931,2086.6,35.819645,NGC2634A
VFID0026,141.41841,73.900116,3152.1,27.360325,PGC026731
VFID0027,157.69122,73.88542,2825.6,40.562176,UGC05689
VFID0028,127.46229,73.85639,2291.7,46.144638,UGC04413
VFID0029,142.808,73.810585,3113.1,33.198715,UGC05052
VFID0030,158.59639,73.765015,1148.8,56.249836,NGC3252
VFID0031,139.63647,73.7597,2258.5,96.18808,IC0529
VFID0032,129.9781,73.75401,3286.8,31.054264,UGC04502
VFID0033,190.20863,73.718925,1863,34.524014,UGC07844
VFID0034,114.24411,73.71341,944.9,48.654305,UGC03909
VFID0035,194.98508,73.692696,1664.6,28.649778,UGC08120
VFID0036,163.47855,73.69036,1261.7,83.391396,NGC3403
VFID0037,188.88538,73.674835,1148,25.1838,UGC07767
VFID0038,132.10167,73.67128,1896,10.141945,NGC2636
VFID0039,188.66019,73.666695,1186.8,24.21705,UGC07745
VFID0040,279.63455,73.65674,1404,25.1838,PGC062173
VFID0041,126.95062,73.65134,2140,24.050343,UGC04389
VFID0042,127.2717,73.6291,2844.5,17.78776,PGC023809
